txn_id,date,merchant,amount,currency,status,category,account_id,notes
TXN1065,04-09-2024,Flipkart,10882.55,INR,SUCCESS,Shopping,ACC003,Refund expected
TXN1054,2024/02/05,Swiggy,$11325.79,INR,success,Food,ACC004,
TXN1021,17-02-2024,Zomato,2536.35,USD,SUCCESS,Food,ACC001,Verified
TXN1045,07-05-2024,Amazon,6874.1,INR,failed,Shopping,ACC004,SUSPICIOUS
TXN1076,14-08-2024,Flipkart,2763.26,INR,SUCCESS,Shopping,ACC004,Duplicate?
TXN1029,19-05-2024,Flipkart,9092.21,INR,FAILED,Shopping,ACC003,
TXN1004,04-07-2024,Jio Recharge,2924.71,INR,SUCCESS,Utilities,ACC001,Verified
TXN1002,2024/01/04,HDFC ATM,10487.18,INR,FAILED,Cash Withdrawal,ACC004,
TXN1000,23-11-2024,Amazon,423.91,INR,failed,,ACC004,
TXN1073,16-05-2024,HDFC ATM,1117.58,INR,failed,Cash Withdrawal,ACC004,
TXN1019,26-11-2024,Amazon,956.16,INR,success,Shopping,ACC004,Refund expected
TXN1006,24-03-2024,IRCTC,5722.86,INR,FAILED,Travel,ACC001,Refund expected
TXN1014,2024/09/05,Amazon,14670.87,INR,failed,Shopping,ACC005,
TXN1009,11-03-2024,MakeMyTrip,7428.06,USD,success,Travel,ACC004,SUSPICIOUS
TXN1066,2024/06/03,Swiggy,10634.88,INR,FAILED,Food,ACC002,
TXN1071,09-10-2024,Amazon,2390.16,INR,SUCCESS,Shopping,ACC003,
TXN1044,16-03-2024,Swiggy,13395.26,INR,success,Food,ACC005,Verified
TXN1047,2024/09/23,IRCTC,9419.89,INR,FAILED,Travel,ACC005,
TXN1068,03-02-2024,Ola,7401.61,inr,failed,Transport,ACC001,Refund expected
TXN1077,23-02-2024,HDFC ATM,4980.56,INR,failed,,ACC001,Duplicate?
TXN1060,22-05-2024,IRCTC,3695.76,INR,SUCCESS,Travel,ACC003,Refund expected
TXN1009,11-03-2024,MakeMyTrip,7428.06,USD,success,Travel,ACC004,SUSPICIOUS
TXN1033,13-10-2024,Ola,14608.86,inr,success,Transport,ACC002,Verified
TXN1059,29-11-2024,Flipkart,9257.89,INR,failed,Shopping,ACC002,
TXN1034,19-06-2024,Ola,12043.42,inr,SUCCESS,Transport,ACC001,
TXN1062,27-07-2024,IRCTC,8349.88,INR,PENDING,Travel,ACC001,Duplicate?
TXN1042,20-09-2024,Jio Recharge,5061.06,INR,success,Utilities,ACC002,
TXN1023,2024/10/23,MakeMyTrip,961.32,USD,failed,Travel,ACC005,
TXN1011,16-05-2024,BookMyShow,1717.7,INR,FAILED,Entertainment,ACC002,SUSPICIOUS
,25-06-2024,Jio Recharge,4004.59,INR,PENDING,,ACC003,
TXN1020,22-05-2024,IRCTC,3784.61,INR,failed,,ACC005,
TXN1064,20-08-2024,Flipkart,4634.01,INR,failed,Shopping,ACC002,Refund expected
TXN1025,02-08-2024,Jio Recharge,8500.14,INR,FAILED,Utilities,ACC004,Refund expected
TXN1069,01-08-2024,Jio Recharge,8962.1,INR,PENDING,Utilities,ACC005,Verified
TXN1024,05-02-2024,Jio Recharge,1066.01,INR,failed,Utilities,ACC005,
TXN1005,21-11-2024,BookMyShow,2481.68,INR,SUCCESS,Entertainment,ACC002,SUSPICIOUS
TXN1018,30-08-2024,Ola,2896.63,inr,PENDING,Transport,ACC001,
TXN1032,06-03-2024,Swiggy,4658.46,INR,FAILED,Food,ACC002,
TXN1028,30-11-2024,MakeMyTrip,166.96,USD,success,Travel,ACC001,
TXN1070,13-11-2024,Swiggy,9163.98,INR,success,Food,ACC001,Refund expected
TXN1043,31-08-2024,Jio Recharge,12753.58,INR,success,Utilities,ACC004,Verified
